commodity,RMSE,NRMSE
Thai Eggplant,62.33670749930616,0.13261718434061515
Parsnip,62.43947499903085,0.13293479880568632
Snow Peas,63.19146344994867,0.13400798101993144
Rutabaga,63.67376189727778,0.13512820588968352
Red Currant,64.17679285556125,0.13609176337672296
Atemoya,65.01578878068985,0.13771905522398237
Plantain,65.32324486705929,0.13854052908116327
Green Banana,65.34420096883254,0.13864378215788448
Durian,65.38579855134141,0.1388086159671827
Butternut Squash,65.55218469223733,0.139055566687676
Amaranth Leaves,65.18511720950033,0.1392249406439563
Cherimoya,65.85009033021741,0.1395454244214063
Cantaloupe,65.76386613039206,0.13965272797433068
Pulasan,65.89649202363044,0.13997300655004555
Cranberry,66.16578683969466,0.14008381182583082
Watercress,66.05278555905137,0.14020969127372399
Sapodilla,66.13391740715039,0.14032233695554933
White Eggplant,66.22979653955595,0.140481061702314
Langsat,66.13367974727358,0.14054250201307714
Dragon Fruit,66.20455984013833,0.14062141002578235
Sweet Potato,66.61632173838944,0.14122304326469537
Turnip,66.79534451427853,0.14158155181287577
Feijoa,66.71575868066142,0.14168314364734416
Breadnut,66.56743713943135,0.14187735701833232
Loquat,67.99723115413825,0.14416272214501294
Napa Cabbage,67.70197438980134,0.14418173266419912
Tangerine,68.08983768836916,0.14421535495482093
Shallot,67.80401483360228,0.14422396961181436
Starfruit,68.09545750430051,0.14448124908086082
Bael Fruit,68.1591456368275,0.14474229270933853
Cassava,68.30519935937858,0.14501241823106506
Yam,68.50868408732971,0.14534875904300443
Bottle Gourd,68.50709078796727,0.14535771438142853
Spring Onion,68.55849099604173,0.14535882751201468
Indian Gooseberry (Amla),69.22629709870417,0.14679962062621493
Okra,69.49776669033783,0.14725663034291306
Gotu Kola,70.73572866494172,0.15048874279836125
